t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
1.182000000000000000e+03,8.991168326518315101e-01,1.798233665303663020e+00,2.697350497955490756e+00,3.596467330607326041e+00
1.182500000000000000e+03,8.978670101095310718e-01,1.795734020219062144e+00,2.693601030328587775e+00,3.591468040438124287e+00
1.183000000000000000e+03,8.966189248902757258e-01,1.793237849780551452e+00,2.689856774670824180e+00,3.586475699561102903e+00
1.183500000000000000e+03,8.953725745790757085e-01,1.790745149158151417e+00,2.686117723737222018e+00,3.581490298316302834e+00
1.184000000000000000e+03,8.941279567643264370e-01,1.788255913528652874e+00,2.682383870292969874e+00,3.576511827057305748e+00
1.184500000000000000e+03,8.928850690377458932e-01,1.785770138075491786e+00,2.678655207113230574e+00,3.571540276150983573e+00
1.185000000000000000e+03,8.916439089944301344e-01,1.783287817988860269e+00,2.674931726983283742e+00,3.566575635977720538e+00
1.185500000000000000e+03,8.904044742327873463e-01,1.780808948465574693e+00,2.671213422698358375e+00,3.561617896931149385e+00
1.186000000000000000e+03,8.891667623545961296e-01,1.778333524709192259e+00,2.667500287063784725e+00,3.556667049418384519e+00
1.186500000000000000e+03,8.879307709649366664e-01,1.775861541929873333e+00,2.663792312894807779e+00,3.551723083859746666e+00
1.187000000000000000e+03,8.866964976722496727e-01,1.773392995344499345e+00,2.660089493016744910e+00,3.546785990688998691e+00
1.187500000000000000e+03,8.854639400882690081e-01,1.770927880176538016e+00,2.656391820264807802e+00,3.541855760353076032e+00
1.188000000000000000e+03,8.842330958280791853e-01,1.768466191656158371e+00,2.652699287484235668e+00,3.536932383312316741e+00
1.188500000000000000e+03,8.830039625100495337e-01,1.766007925020099067e+00,2.649011887530147824e+00,3.532015850040198135e+00
1.189000000000000000e+03,8.817765377558888229e-01,1.763553075511777646e+00,2.645329613267664914e+00,3.527106151023555292e+00
1.189500000000000000e+03,8.805508191905845328e-01,1.761101638381169066e+00,2.641652457571756152e+00,3.522203276762338131e+00
1.190000000000000000e+03,8.793268044424529251e-01,1.758653608884905850e+00,2.637980413327357443e+00,3.517307217769811700e+00
